transaction_id,posting_date_raw,posting_date,invoice_date_raw,invoice_date,fiscal_period,fiscal_year,fiscal_month,entity_code,account_code_raw,cost_center_raw,vendor_name_raw,invoice_number,po_number,currency_code,amount_raw,amount,amount_is_negative,tax_code,narrative,source_system,processing_timestamp,data_quality_score,anomaly_count
TXN000015,01/18/2026,2026-01-18,01/16/2026,2026-01-16,2026-01,2026,01,AUS01,5810,,WeWork Australia,INV98374,PO9747,GBP,26268.0,26268.0,False,EXPORT,Payment for subscription,Manual Entry,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000016,2026-01-26,2026-01-26,2026-01-17,2026-01-17,2026-01,2026,01,AUS01,5100,,Amazon,INV36201,,GBP,6625.17,6625.17,False,GST,Payment for goods,Workday,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000017,01/22/2026,2026-01-22,01/19/2026,2026-01-19,2026-01,2026,01,AUS01,5910,,MSFT,INV57013,PO2679,NZD,9259.64,9259.64,False,GST,Payment for license,API Import,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000018,28/01/2026,2026-01-28,19/01/2026,2026-01-19,2026-01,2026,01,AUS01,5400,,Accenture Pty,INV60014,PO6122,NZD,31212.83,31212.83,False,GST,Payment for license,SAP,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000019,05/01/2025,2025-01-05,04/27/2025,2025-04-27,2025-05,2025,05,AUS01,5610,,Optus Pty,INV87120,PO4218,USD,41025.74,41025.74,False,INPUT,Payment for goods,Workday,2026-02-22 23:27:14.356841,83.92156862745098,1
TXN000020,15/01/2026,2026-01-15,13/01/2026,2026-01-13,2026-01,2026,01,AUS01,5120,,Oracle,INV46583,PO3131,AUD,17036.2,17036.2,False,EXPORT,Payment for goods,API Import,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000021,01/28/2026,2026-01-28,01/27/2026,2026-01-27,2026-01,2026,01,AUS01,5310,,LinkedIn Corp,INV88234,,USD,1893.33,1893.33,False,INPUT,Payment for license,Workday,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000022,01/16/2026,2026-01-16,01/14/2026,2026-01-14,2026-01,2026,01,AUS01,5900,,McKinsey,INV76209,,USD,43068.75,43068.75,False,GST,Payment for license,API Import,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000023,2026-02-13,2026-02-13,2026-02-07,2026-02-07,2026-02,2026,02,AUS01,5210,,Workday,INV38632,PO9691,NZD,14964.89,14964.89,False,INPUT,Payment for consulting,API Import,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000024,2026-01-27,2026-01-27,2026-01-25,2026-01-25,2026-01,2026,01,AUS01,5700,,WeWork Australia,INV15226,PO6258,GBP,10891.62,10891.62,False,GST-FREE,Payment for consulting,SAP,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000025,02/13/2026,2026-02-13,02/04/2026,2026-04-02,2026-02,2026,02,AUS01,5800,,KPMG Australia,INV77411,PO8300,AUD,41018.98,41018.98,False,INPUT,Payment for consulting,SAP,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000026,10/05/2025,2025-05-10,04/05/2025,2025-05-04,2025-05,2025,05,AUS01,5510,,Google,INV92173,,AUD,7616.03,7616.03,False,GST,Payment for goods,Manual Entry,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000027,2025-12-27,2025-12-27,2025-12-23,2025-12-23,2025-12,2025,12,AUS01,5520,,Telstra Corp,INV13113,PO6434,AUD,33635.4,33635.4,False,GST-FREE,Payment for services,SAP,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000028,2026-01-03,2026-01-03,2025-12-31,2025-12-31,2026-01,2026,01,AUS01,5900,,Deloitte Touche,INV43901,PO8391,AUD,25915.81,25915.81,False,GST-FREE,Payment for consulting,Manual Entry,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000029,2026-01-11,2026-01-11,2026-01-04,2026-01-04,2026-01,2026,01,AUS01,5700,,Atlassian Pty,INV86756,,AUD,28899.88,28899.88,False,GST,Payment for services,Workday,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000030,2026-01-17,2026-01-17,2026-01-12,2026-01-12,2026-01,2026,01,AUS01,5900,,EY Australia,INV59992,PO1504,AUD,12740.13,12740.13,False,EXPORT,Payment for consulting,Oracle,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000031,18/01/2026,2026-01-18,15/01/2026,2026-01-15,2026-01,2026,01,AUS01,5800,,DHL Express,INV49066,PO7113,NZD,43210.03,43210.03,False,GST-FREE,Payment for services,API Import,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000032,28/01/2026,2026-01-28,26/01/2026,2026-01-26,2026-01,2026,01,AUS01,5010,,AWS,INV49936,,GBP,24218.13,24218.13,False,GST,Payment for subscription,Oracle,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000033,14/04/2025,2025-04-14,11/04/2025,2025-04-11,2025-04,2025,04,AUS01,5120,,ServiceNow Inc,INV97946,PO1891,NZD,8825.25,8825.25,False,GST-FREE,Payment for license,Manual Entry,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000034,2026-02-21,2026-02-21,2026-02-16,2026-02-16,2026-02,2026,02,AUS01,5700,,Salesforce,INV53365,PO4842,NZD,4509.29,4509.29,False,EXPORT,Payment for services,Workday,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000035,2026-02-20,2026-02-20,2026-02-16,2026-02-16,2026-02,2026,02,AUS01,5310,,Hays,INV86568,,GBP,14842.74,14842.74,False,INPUT,Payment for license,Workday,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000036,01/26/2025,2025-01-26,01/19/2025,2025-01-19,2025-01,2025,01,AUS01,5120,,AWS,INV93995,PO6889,NZD,11153.26,11153.26,False,GST-FREE,Payment for goods,Workday,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000037,16-11-2025,2025-11-16,08-11-2025,2025-11-08,2025-11,2025,11,AUS01,5320,,EY Australia,INV94613,PO5597,GBP,24870.06,24870.06,False,GST-FREE,Payment for goods,API Import,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000038,02/07/2026,2026-07-02,02/05/2026,2026-05-02,2026-02,2026,02,AUS01,5800,,Salesforce,INV86269,PO4485,AUD,38246.47,38246.47,False,GST,Payment for services,API Import,2026-02-22 23:27:14.356841,83.92156862745098,1
TXN000039,09-12-2025,2025-12-09,06-12-2025,2025-12-06,2025-12,2025,12,AUS01,5320,,DHL Express,INV27548,PO9362,USD,40125.55,40125.55,False,INPUT,Payment for services,Manual Entry,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000040,2025-11-12,2025-11-12,2025-11-08,2025-11-08,2025-11,2025,11,AUS01,5920,,Adobe,INV84233,PO3395,USD,20135.3,20135.3,False,GST-FREE,Payment for consulting,Workday,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000041,02/02/2026,2026-02-02,25/01/2026,2026-01-25,2026-02,2026,02,AUS01,5210,,Salesforce,INV97632,,NZD,16687.64,16687.64,False,GST,Payment for subscription,Manual Entry,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000042,16-06-2025,2025-06-16,15-06-2025,2025-06-15,2025-06,2025,06,AUS01,5010,,McKinsey,INV44513,PO3848,AUD,31697.76,31697.76,False,INPUT,Payment for consulting,Manual Entry,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000043,2026-01-12,2026-01-12,2026-01-03,2026-01-03,2026-01,2026,01,AUS01,5220,,Federal Express,INV55224,PO8898,USD,23285.09,23285.09,False,INPUT,Payment for license,SAP,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000044,17/11/2025,2025-11-17,09/11/2025,2025-11-09,2025-11,2025,11,AUS01,5120,,ServiceNow Inc,INV37723,,AUD,23202.9,23202.9,False,INPUT,Payment for goods,Workday,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000045,2026-02-20,2026-02-20,2026-02-16,2026-02-16,2026-02,2026,02,AUS01,5410,,BCG,INV72786,,AUD,21720.1,21720.1,False,EXPORT,Payment for goods,Manual Entry,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000046,01/02/2026,2026-02-01,31/01/2026,2026-01-31,2026-02,2026,02,AUS01,5110,,Adobe,INV85008,,USD,28366.37,28366.37,False,GST,Payment for goods,Workday,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000047,06-12-2025,2025-12-06,26-11-2025,2025-11-26,2025-12,2025,12,AUS01,5600,,Amazon,INV68877,PO8723,NZD,42631.7,42631.7,False,GST-FREE,Payment for consulting,Oracle,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000048,08-01-2026,2026-01-08,29-12-2025,2025-12-29,2026-01,2026,01,AUS01,5110,,Oracle,INV69437,PO2127,NZD,7630.7,7630.7,False,INPUT,Payment for goods,Manual Entry,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000049,13/01/2025,2025-01-13,11/01/2025,2025-01-11,2025-01,2025,01,AUS01,5000,,SAP,INV33255,PO1639,GBP,37210.49,37210.49,False,GST,Payment for license,API Import,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000050,2026-02-25,2026-02-25,2026-02-23,2026-02-23,2026-02,2026,02,AUS01,5500,,Slack,INV78425,PO1711,AUD,40373.91,40373.91,False,EXPORT,Payment for license,Manual Entry,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000051,08-01-2026,2026-01-08,01-01-2026,2026-01-01,2026-01,2026,01,AUS01,5320,,GCP,INV40475,PO2373,GBP,6111.35,6111.35,False,EXPORT,Payment for subscription,API Import,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000052,18-01-2026,2026-01-18,13-01-2026,2026-01-13,2026-01,2026,01,AUS01,5200,,AWS,INV78126,,AUD,26051.62,26051.62,False,GST,Payment for goods,Workday,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000053,02/14/2026,2026-02-14,02/12/2026,2026-12-02,2026-02,2026,02,AUS01,5110,,Telstra Corp,INV84012,PO5514,NZD,11832.5,11832.5,False,EXPORT,Payment for consulting,Oracle,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000054,14-08-2025,2025-08-14,11-08-2025,2025-08-11,2025-08,2025,08,AUS01,5320,,Seek Limited,INV62183,PO2951,NZD,44484.02,44484.02,False,INPUT,Payment for goods,Manual Entry,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000055,26/03/2025,2025-03-26,24/03/2025,2025-03-24,2025-03,2025,03,AUS01,5200,,Robert Half International,INV31068,PO1086,GBP,35395.04,35395.04,False,GST,Payment for services,Oracle,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000056,16-02-2026,2026-02-16,14-02-2026,2026-02-14,2026-02,2026,02,AUS01,5020,,Deloitte Touche,INV60374,PO7564,USD,16750.5,16750.5,False,GST,Payment for license,API Import,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000057,2026-01-10,2026-01-10,2026-01-07,2026-01-07,2026-01,2026,01,AUS01,5620,,Hays,INV35525,,GBP,580.9,580.9,False,INPUT,Payment for license,API Import,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000058,17/05/2025,2025-05-17,07/05/2025,2025-05-07,2025-05,2025,05,AUS01,5120,,Microsoft,INV30636,,NZD,10842.62,10842.62,False,GST,Payment for subscription,Manual Entry,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000059,12-01-2026,2026-01-12,05-01-2026,2026-01-05,2026-01,2026,01,AUS01,5600,,SAP,INV21818,PO6703,AUD,33187.96,33187.96,False,GST,Payment for subscription,Workday,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000060,08/01/2026,2026-01-08,31/12/2025,2025-12-31,2026-01,2026,01,AUS01,5400,,AWS,INV83220,,NZD,7959.06,7959.06,False,GST,Payment for subscription,Workday,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000061,03/04/2025,2025-04-03,02/23/2025,2025-02-23,2025-03,2025,03,AUS01,5910,,Deloitte Touche,INV41886,PO8517,GBP,43475.89,43475.89,False,EXPORT,Payment for consulting,API Import,2026-02-22 23:27:14.356841,83.92156862745098,1
TXN000062,2026-01-28,2026-01-28,2026-01-20,2026-01-20,2026-01,2026,01,AUS01,5100,,Deloitte Touche,INV98724,PO6172,AUD,17282.03,17282.03,False,GST-FREE,Payment for consulting,Workday,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000063,2025-08-17,2025-08-17,2025-08-12,2025-08-12,2025-08,2025,08,AUS01,5210,,KPMG Australia,INV19965,PO3924,AUD,18011.99,18011.99,False,INPUT,Payment for consulting,Workday,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000064,12/02/2026,2026-02-12,02/02/2026,2026-02-02,2026-02,2026,02,AUS01,5220,,Oracle,INV40783,PO5348,USD,22505.07,22505.07,False,GST-FREE,Payment for goods,Oracle,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000065,07/07/2025,2025-07-07,27/06/2025,2025-06-27,2025-07,2025,07,AUS01,5320,,Zoom,INV98580,PO9071,AUD,5482.54,5482.54,False,GST,Payment for license,SAP,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000066,2026-02-25,2026-02-25,2026-02-17,2026-02-17,2026-02,2026,02,AUS01,5320,,McKinsey,INV74330,,GBP,40425.64,40425.64,False,INPUT,Payment for license,Workday,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000067,13/02/2026,2026-02-13,03/02/2026,2026-02-03,2026-02,2026,02,AUS01,5110,,MSFT,INV75860,PO3863,GBP,21576.57,21576.57,False,GST,Payment for consulting,SAP,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000068,23-09-2025,2025-09-23,17-09-2025,2025-09-17,2025-09,2025,09,AUS01,5710,,AWS,INV86153,,AUD,30367.23,30367.23,False,EXPORT,Payment for subscription,API Import,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000069,10/28/2025,2025-10-28,10/25/2025,2025-10-25,2025-10,2025,10,AUS01,5520,,Deloitte Touche,INV57962,,USD,12196.43,12196.43,False,INPUT,Payment for consulting,Oracle,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000070,08/14/2025,2025-08-14,08/08/2025,2025-08-08,2025-08,2025,08,AUS01,5920,,DHL Express,INV85483,PO2636,NZD,20337.73,20337.73,False,GST-FREE,Payment for subscription,Oracle,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000071,18-01-2026,2026-01-18,11-01-2026,2026-01-11,2026-01,2026,01,AUS01,5200,,Zoom,INV33148,PO3203,USD,21337.12,21337.12,False,GST,Payment for license,API Import,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000072,01/24/2026,2026-01-24,01/16/2026,2026-01-16,2026-01,2026,01,AUS01,5300,,Deloitte Touche,INV17869,,AUD,17988.25,17988.25,False,GST-FREE,Payment for subscription,Manual Entry,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000073,2026-02-27,2026-02-27,2026-02-19,2026-02-19,2026-02,2026,02,AUS01,5800,,BCG,INV55107,,NZD,16307.19,16307.19,False,INPUT,Payment for services,Workday,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000074,28/02/2026,2026-02-28,18/02/2026,2026-02-18,2026-02,2026,02,AUS01,5600,,Oracle,INV68580,PO7243,NZD,16044.4,16044.4,False,EXPORT,Payment for license,Workday,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000075,15/02/2025,2025-02-15,12/02/2025,2025-02-12,2025-02,2025,02,AUS01,5620,,BCG,INV19351,,GBP,28444.18,28444.18,False,EXPORT,Payment for subscription,Oracle,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000076,01/11/2026,2026-11-01,01/06/2026,2026-06-01,2026-01,2026,01,AUS01,5710,,PWC,INV57600,PO9535,GBP,12279.04,12279.04,False,EXPORT,Payment for consulting,Manual Entry,2026-02-22 23:27:14.356841,83.92156862745098,1
TXN000077,06/01/2026,2026-01-06,05/01/2026,2026-01-05,2026-01,2026,01,AUS01,5110,,Accenture Pty,INV37600,,NZD,42325.64,42325.64,False,GST,Payment for services,SAP,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000078,03-02-2026,2026-02-03,25-01-2026,2026-01-25,2026-02,2026,02,AUS01,5010,,Amazon,INV23622,,GBP,23626.83,23626.83,False,GST,Payment for goods,SAP,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000079,21-02-2026,2026-02-21,16-02-2026,2026-02-16,2026-02,2026,02,AUS01,5210,,Accenture Pty,INV27206,PO3795,NZD,19997.9,19997.9,False,GST-FREE,Payment for services,SAP,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000080,02/22/2026,2026-02-22,02/16/2026,2026-02-16,2026-02,2026,02,AUS01,5920,,Seek Limited,INV81898,PO9835,GBP,43876.67,43876.67,False,INPUT,Payment for goods,API Import,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000081,20-02-2026,2026-02-20,10-02-2026,2026-02-10,2026-02,2026,02,AUS01,5410,,EY Australia,INV21738,PO6992,NZD,21726.16,21726.16,False,GST-FREE,Payment for consulting,Workday,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000082,02/05/2026,2026-05-02,02/04/2026,2026-04-02,2026-02,2026,02,AUS01,5000,,Slack,INV74478,PO8816,NZD,12975.62,12975.62,False,GST,Payment for subscription,SAP,2026-02-22 23:27:14.356841,83.92156862745098,1
TXN000083,25-03-2025,2025-03-25,20-03-2025,2025-03-20,2025-03,2025,03,AUS01,5610,,ServiceNow Inc,INV63967,PO8161,AUD,24714.73,24714.73,False,GST-FREE,Payment for consulting,Oracle,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000084,06-02-2025,2025-02-06,30-01-2025,2025-01-30,2025-02,2025,02,AUS01,5210,,Deloitte Touche,INV77713,PO5454,AUD,19058.55,19058.55,False,GST-FREE,Payment for subscription,API Import,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000085,06/26/2025,2025-06-26,06/19/2025,2025-06-19,2025-06,2025,06,AUS01,5200,,Salesforce,INV93478,PO8418,USD,6234.42,6234.42,False,GST,Payment for subscription,API Import,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000086,16/08/2025,2025-08-16,10/08/2025,2025-08-10,2025-08,2025,08,AUS01,5000,,Zoom,INV34371,PO5622,AUD,43640.26,43640.26,False,GST,Payment for subscription,Oracle,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000087,23-02-2026,2026-02-23,22-02-2026,2026-02-22,2026-02,2026,02,AUS01,5210,,Google,INV54815,PO9165,USD,761.15,761.15,False,GST-FREE,Payment for subscription,Manual Entry,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000088,2026-02-23,2026-02-23,2026-02-17,2026-02-17,2026-02,2026,02,AUS01,5020,,Zoom,INV19356,PO3975,AUD,12066.01,12066.01,False,EXPORT,Payment for goods,Workday,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000089,27-02-2026,2026-02-27,26-02-2026,2026-02-26,2026-02,2026,02,AUS01,5100,,Accenture Pty,INV42396,PO1549,GBP,34728.02,34728.02,False,EXPORT,Payment for goods,Manual Entry,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000090,2026-01-24,2026-01-24,2026-01-15,2026-01-15,2026-01,2026,01,AUS01,5700,,Workday,INV52344,,GBP,17571.62,17571.62,False,INPUT,Payment for services,API Import,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000091,2025-05-17,2025-05-17,2025-05-12,2025-05-12,2025-05,2025,05,AUS01,5500,,EY Australia,INV97385,,USD,16283.16,16283.16,False,GST,Payment for services,Oracle,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000092,21-01-2026,2026-01-21,15-01-2026,2026-01-15,2026-01,2026,01,AUS01,5000,,Adobe,INV41862,,NZD,26352.89,26352.89,False,EXPORT,Payment for services,API Import,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000093,26-06-2025,2025-06-26,16-06-2025,2025-06-16,2025-06,2025,06,AUS01,5110,,Regus Australia,INV21980,PO6544,AUD,11267.63,11267.63,False,EXPORT,Payment for services,SAP,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000094,12/03/2025,2025-03-12,03/03/2025,2025-03-03,2025-03,2025,03,AUS01,5900,,GCP,INV83184,PO6690,USD,22004.15,22004.15,False,INPUT,Payment for consulting,Oracle,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000095,01-01-2026,2026-01-01,26-12-2025,2025-12-26,2026-01,2026,01,AUS01,5800,,Slack,INV67344,PO9892,NZD,40449.97,40449.97,False,EXPORT,Payment for consulting,Oracle,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000096,19/02/2026,2026-02-19,10/02/2026,2026-02-10,2026-02,2026,02,AUS01,5320,,McKinsey,INV19027,PO8362,GBP,12462.07,12462.07,False,GST-FREE,Payment for subscription,Workday,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000097,11/18/2025,2025-11-18,11/10/2025,2025-10-11,2025-11,2025,11,AUS01,5000,,Robert Half International,INV91229,PO4912,GBP,33041.23,33041.23,False,GST,Payment for subscription,SAP,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000098,22-02-2025,2025-02-22,18-02-2025,2025-02-18,2025-02,2025,02,AUS01,5510,,Hays,INV63713,PO2809,USD,27625.46,27625.46,False,INPUT,Payment for services,API Import,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000099,2026-02-22,2026-02-22,2026-02-21,2026-02-21,2026-02,2026,02,AUS01,5910,,Slack,INV24031,PO2617,USD,39319.83,39319.83,False,GST-FREE,Payment for services,API Import,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000100,21-01-2026,2026-01-21,13-01-2026,2026-01-13,2026-01,2026,01,AUS01,5510,,Deloitte Touche,INV11715,PO4419,AUD,16549.3,16549.3,False,GST,Payment for consulting,SAP,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000101,2026-01-15,2026-01-15,2026-01-09,2026-01-09,2026-01,2026,01,AUS01,5520,,AusPost,INV90862,,NZD,35761.81,35761.81,False,GST,Payment for services,SAP,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000102,02/27/2026,2026-02-27,02/25/2026,2026-02-25,2026-02,2026,02,AUS01,5200,,GCP,INV34832,,AUD,32660.22,32660.22,False,EXPORT,Payment for goods,API Import,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000103,21/12/2025,2025-12-21,12/12/2025,2025-12-12,2025-12,2025,12,AUS01,5800,,AusPost,INV98407,PO7997,AUD,34506.13,34506.13,False,INPUT,Payment for services,Oracle,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000104,26/01/2026,2026-01-26,17/01/2026,2026-01-17,2026-01,2026,01,AUS01,5400,,Robert Half International,INV56179,PO6319,NZD,29623.18,29623.18,False,EXPORT,Payment for subscription,Manual Entry,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000105,25-01-2026,2026-01-25,19-01-2026,2026-01-19,2026-01,2026,01,AUS01,5610,,Accenture Pty,INV57187,PO8331,USD,16940.33,16940.33,False,INPUT,Payment for consulting,SAP,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000106,2025-05-24,2025-05-24,2025-05-19,2025-05-19,2025-05,2025,05,AUS01,5610,,Amazon,INV10860,PO4635,USD,44704.2,44704.2,False,INPUT,Payment for goods,Workday,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000107,02/01/2026,2026-01-02,01/23/2026,2026-01-23,2026-02,2026,02,AUS01,5510,,Zoom,INV30461,,AUD,1794.36,1794.36,False,INPUT,Payment for subscription,API Import,2026-02-22 23:27:14.356841,83.92156862745098,1
TXN000108,08/09/2025,2025-09-08,03/09/2025,2025-09-03,2025-09,2025,09,AUS01,5900,,EY Australia,INV20118,PO8905,AUD,25714.87,25714.87,False,GST-FREE,Payment for goods,Manual Entry,2026-02-22 23:27:14.356841,83.92156862745098,0
