transaction_id,rule_id,rule_name,severity,description,amount,vendor,account
TXN000233,EX001,Rule 1,MEDIUM,Rule 1,15092.522,MSFT,5320
TXN000237,EX001,Rule 1,MEDIUM,Rule 1,48824.72556,BCG,5910
TXN000238,EX001,Rule 1,MEDIUM,Rule 1,3590.31,Telstra Corp,5110
TXN000243,EX001,Rule 1,MEDIUM,Rule 1,14832.38,Microsoft,5520
TXN000246,EX001,Rule 1,MEDIUM,Rule 1,10555.85,DHL Express,5610
TXN000247,EX001,Rule 1,MEDIUM,Rule 1,45087.20705,DHL Express,5500
TXN000254,EX001,Rule 1,MEDIUM,Rule 1,16217.65825,Accenture Pty,5010
TXN000256,EX001,Rule 1,MEDIUM,Rule 1,28497.4876,Federal Express,5000
TXN000257,EX001,Rule 1,MEDIUM,Rule 1,17905.766799999998,Regus Australia,5610
TXN000262,EX001,Rule 1,MEDIUM,Rule 1,21151.07987,Accenture Pty,5220
TXN000263,EX001,Rule 1,MEDIUM,Rule 1,11078.6904,Microsoft,5620
TXN000266,EX001,Rule 1,MEDIUM,Rule 1,64040.10794999999,Federal Express,5910
TXN000270,EX001,Rule 1,MEDIUM,Rule 1,55615.3317,Adobe,5200
TXN000274,EX001,Rule 1,MEDIUM,Rule 1,7704.685560000001,AusPost,5200
TXN000275,EX001,Rule 1,MEDIUM,Rule 1,3561.2715000000003,Deloitte Touche,5420
TXN000276,EX001,Rule 1,MEDIUM,Rule 1,72588.28314,Telstra Corp,5710
TXN000277,EX001,Rule 1,MEDIUM,Rule 1,29646.352479999994,Federal Express,5800
TXN000281,EX001,Rule 1,MEDIUM,Rule 1,66437.845,Regus Australia,5400
TXN000282,EX001,Rule 1,MEDIUM,Rule 1,12655.19491,McKinsey,5110
TXN000284,EX001,Rule 1,MEDIUM,Rule 1,12692.651249999999,MSFT,5200
TXN000287,EX001,Rule 1,MEDIUM,Rule 1,32986.26535,Atlassian Pty,5700
TXN000298,EX001,Rule 1,MEDIUM,Rule 1,29041.875790000002,EY Australia,INVALID_ACCT
TXN000299,EX001,Rule 1,MEDIUM,Rule 1,33139.198319999996,Amazon,INVALID_ACCT
TXN000303,EX001,Rule 1,MEDIUM,Rule 1,12126.41,McKinsey,INVALID_ACCT
TXN000305,EX001,Rule 1,MEDIUM,Rule 1,70577.64,Regus Australia,INVALID_ACCT
TXN000306,EX001,Rule 1,MEDIUM,Rule 1,35727.36,Hays,INVALID_ACCT
TXN000309,EX001,Rule 1,MEDIUM,Rule 1,35196.19,Atlassian Pty,INVALID_ACCT
TXN000310,EX001,Rule 1,MEDIUM,Rule 1,29775.410754999997,Adobe,INVALID_ACCT
TXN000321,EX001,Rule 1,MEDIUM,Rule 1,2892.5,Google,INVALID_ACCT
TXN000323,EX001,Rule 1,MEDIUM,Rule 1,31281.73,Slack,INVALID_ACCT
TXN000327,EX001,Rule 1,MEDIUM,Rule 1,58823.91697,LinkedIn Corp,INVALID_ACCT
TXN000331,EX001,Rule 1,MEDIUM,Rule 1,28470.588000000003,Telstra Corp,INVALID_ACCT
TXN000334,EX001,Rule 1,MEDIUM,Rule 1,44819.0934,Accenture Pty,INVALID_ACCT
TXN000337,EX001,Rule 1,MEDIUM,Rule 1,27465.75439,LinkedIn Corp,INVALID_ACCT
TXN000338,EX001,Rule 1,MEDIUM,Rule 1,1996.5863200000003,Workday,INVALID_ACCT
TXN000339,EX001,Rule 1,MEDIUM,Rule 1,37082.909960000005,Robert Half International,INVALID_ACCT
TXN000341,EX001,Rule 1,MEDIUM,Rule 1,47480.9297,Hays,INVALID_ACCT
TXN000343,EX001,Rule 1,MEDIUM,Rule 1,36751.01,SAP,INVALID_ACCT
TXN000345,EX001,Rule 1,MEDIUM,Rule 1,26508.59,Oracle,INVALID_ACCT
TXN000347,EX001,Rule 1,MEDIUM,Rule 1,31925.325950000002,LinkedIn Corp,INVALID_ACCT
TXN000351,EX001,Rule 1,MEDIUM,Rule 1,27723.35125,Microsoft,INVALID_ACCT
TXN000352,EX001,Rule 1,MEDIUM,Rule 1,13341.76,MSFT,INVALID_ACCT
TXN000354,EX001,Rule 1,MEDIUM,Rule 1,26720.6,AWS,INVALID_ACCT
TXN000355,EX001,Rule 1,MEDIUM,Rule 1,16823.79885,Optus Pty,INVALID_ACCT
TXN000358,EX001,Rule 1,MEDIUM,Rule 1,25916.788505,BCG,INVALID_ACCT
TXN000360,EX001,Rule 1,MEDIUM,Rule 1,16169.11,AWS,INVALID_ACCT
TXN000363,EX001,Rule 1,MEDIUM,Rule 1,64596.194,Regus Australia,INVALID_ACCT
TXN000364,EX001,Rule 1,MEDIUM,Rule 1,63216.60275,Telstra Corp,INVALID_ACCT
TXN000369,EX001,Rule 1,MEDIUM,Rule 1,36130.09486,LinkedIn Corp,INVALID_ACCT
TXN000376,EX001,Rule 1,MEDIUM,Rule 1,24098.63,DHL Express,INVALID_ACCT
TXN000377,EX001,Rule 1,MEDIUM,Rule 1,2346.13704,Unlisted Company,5120
TXN000380,EX001,Rule 1,MEDIUM,Rule 1,8533.8114,New Vendor XYZ,5200
TXN000381,EX001,Rule 1,MEDIUM,Rule 1,40852.43371,New Vendor XYZ,5310
TXN000384,EX001,Rule 1,MEDIUM,Rule 1,14665.0024,New Vendor XYZ,5510
TXN000386,EX001,Rule 1,MEDIUM,Rule 1,12513.470879999999,Mystery Corp,5020
TXN000387,EX001,Rule 1,MEDIUM,Rule 1,5464.9595,New Vendor XYZ,5100
TXN000389,EX001,Rule 1,MEDIUM,Rule 1,38162.64828000001,Mystery Corp,5810
TXN000393,EX001,Rule 1,MEDIUM,Rule 1,59853.9508,Unregistered Supplier,5100
TXN000395,EX001,Rule 1,MEDIUM,Rule 1,2790.54,Mystery Corp,5210
TXN000399,EX001,Rule 1,MEDIUM,Rule 1,19238.17,Mystery Corp,5520
TXN000405,EX001,Rule 1,MEDIUM,Rule 1,29325.69,Unregistered Supplier,5710
TXN000406,EX001,Rule 1,MEDIUM,Rule 1,17575.750780000002,New Vendor XYZ,5220
TXN000409,EX001,Rule 1,MEDIUM,Rule 1,57708.016,Unlisted Company,5810
TXN000411,EX001,Rule 1,MEDIUM,Rule 1,11145.679199999999,Unknown Vendor LLC,5020
TXN000414,EX001,Rule 1,MEDIUM,Rule 1,1913.4073499999997,New Vendor XYZ,5000
TXN000420,EX001,Rule 1,MEDIUM,Rule 1,71160.61195,Unlisted Company,5400
TXN000426,EX001,Rule 1,MEDIUM,Rule 1,48222.32406,Unregistered Supplier,5800
TXN000429,EX001,Rule 1,MEDIUM,Rule 1,85404.92818,Unregistered Supplier,5100
TXN000434,EX001,Rule 1,MEDIUM,Rule 1,44840.429,Mystery Corp,5100
TXN000436,EX001,Rule 1,MEDIUM,Rule 1,47318.782889999995,Unlisted Company,5510
TXN000439,EX001,Rule 1,MEDIUM,Rule 1,33493.056930000006,Unregistered Supplier,5910
TXN000440,EX001,Rule 1,MEDIUM,Rule 1,32723.05426,Unregistered Supplier,5310
TXN000445,EX001,Rule 1,MEDIUM,Rule 1,-4347.9884999999995,Salesforce,5620
TXN000446,EX001,Rule 1,MEDIUM,Rule 1,-49237.180640000006,Slack,5700
TXN000451,EX001,Rule 1,MEDIUM,Rule 1,-44906.79264,Google,5500
TXN000455,EX001,Rule 1,MEDIUM,Rule 1,-64498.11314999999,Amazon,5100
TXN000459,EX001,Rule 1,MEDIUM,Rule 1,-91858.93805000001,Telstra Corp,5210
TXN000460,EX001,Rule 1,MEDIUM,Rule 1,-4960.8060000000005,Accenture Pty,5710
TXN000465,EX001,Rule 1,MEDIUM,Rule 1,-14198.423520000002,Adobe,5510
TXN000468,EX001,Rule 1,MEDIUM,Rule 1,-59209.52799999999,Atlassian Pty,5710
TXN000470,EX001,Rule 1,MEDIUM,Rule 1,-779.90191,KPMG Australia,5410
TXN000472,EX001,Rule 1,MEDIUM,Rule 1,-75144.3741,Zoom,5600
TXN000473,EX001,Rule 1,MEDIUM,Rule 1,-5727.31706,SAP,5120
TXN000476,EX001,Rule 1,MEDIUM,Rule 1,-6953.88421,GCP,5000
TXN000479,EX001,Rule 1,MEDIUM,Rule 1,-68508.124,Atlassian Pty,5500
TXN000481,EX001,Rule 1,MEDIUM,Rule 1,-10636.08,Deloitte Touche,5500
TXN000482,EX001,Rule 1,MEDIUM,Rule 1,-39936.13818,Telstra Corp,5100
TXN000484,EX001,Rule 1,MEDIUM,Rule 1,-22656.857159999996,AusPost,5020
TXN000492,EX001,Rule 1,MEDIUM,Rule 1,-54774.75175,Amazon,5810
TXN000493,EX001,Rule 1,MEDIUM,Rule 1,-21869.41,Google,5210
TXN000495,EX001,Rule 1,MEDIUM,Rule 1,-51273.47828,Amazon,5900
TXN000496,EX001,Rule 1,MEDIUM,Rule 1,-25830.63579,Adobe,5200
TXN000498,EX001,Rule 1,MEDIUM,Rule 1,-5170.68025,McKinsey,5100
TXN000500,EX001,Rule 1,MEDIUM,Rule 1,-62037.017420000004,Slack,5400
TXN000503,EX001,Rule 1,MEDIUM,Rule 1,-22807.42725,Hays,5310
TXN000505,EX001,Rule 1,MEDIUM,Rule 1,-34933.10094,Telstra Corp,5920
TXN000508,EX001,Rule 1,MEDIUM,Rule 1,-15716.55832,Zoom,5800
TXN000514,EX001,Rule 1,MEDIUM,Rule 1,-17187.5304,Workday,5920
TXN000520,EX001,Rule 1,MEDIUM,Rule 1,-22617.94922,Accenture Pty,5300
TXN000521,EX001,Rule 1,MEDIUM,Rule 1,-42922.41,Atlassian Pty,5420
TXN000527,EX001,Rule 1,MEDIUM,Rule 1,-17573.65146,PWC,5420
TXN000534,EX001,Rule 1,MEDIUM,Rule 1,-33825.812280000006,AusPost,5500
TXN000535,EX001,Rule 1,MEDIUM,Rule 1,-7930.53,Hays,5300
TXN000551,EX001,Rule 1,MEDIUM,Rule 1,51916.71732,ServiceNow Inc,5700
TXN000557,EX001,Rule 1,MEDIUM,Rule 1,25498.81085,EY Australia,5520
TXN000558,EX001,Rule 1,MEDIUM,Rule 1,31116.30785,AWS,5500
TXN000559,EX001,Rule 1,MEDIUM,Rule 1,29658.10068,Zoom,5710
TXN000564,EX001,Rule 1,MEDIUM,Rule 1,34014.55,KPMG Australia,5610
TXN000568,EX001,Rule 1,MEDIUM,Rule 1,5080.71265,Optus Pty,5000
TXN000569,EX001,Rule 1,MEDIUM,Rule 1,19512.68,Optus Pty,5220
TXN000576,EX001,Rule 1,MEDIUM,Rule 1,2880.51,AusPost,5120
TXN000578,EX001,Rule 1,MEDIUM,Rule 1,71633.76105,Adobe,5210
TXN000581,EX001,Rule 1,MEDIUM,Rule 1,4323.029165,Slack,5600
TXN000584,EX001,Rule 1,MEDIUM,Rule 1,23059.372499999998,Deloitte Touche,5310
TXN000593,EX001,Rule 1,MEDIUM,Rule 1,16820.31,Workday,5800
TXN000597,EX001,Rule 1,MEDIUM,Rule 1,83631.68306,GCP,5900
TXN000599,EX001,Rule 1,MEDIUM,Rule 1,15253.48335,Microsoft,5600
TXN000603,EX001,Rule 1,MEDIUM,Rule 1,1851.8866349999998,Optus Pty,5700
TXN000605,EX001,Rule 1,MEDIUM,Rule 1,77156.31017,Salesforce,5320
TXN000607,EX001,Rule 1,MEDIUM,Rule 1,26143.927200000002,WeWork Australia,5710
TXN000609,EX001,Rule 1,MEDIUM,Rule 1,22658.343249999998,KPMG Australia,5220
TXN000610,EX001,Rule 1,MEDIUM,Rule 1,15904.11,Regus Australia,5800
TXN000628,EX001,Rule 1,MEDIUM,Rule 1,26153.79811,WeWork Australia,5900
TXN000630,EX001,Rule 1,MEDIUM,Rule 1,13162.77,Accenture Pty,5610
TXN000636,EX001,Rule 1,MEDIUM,Rule 1,10427.24,EY Australia,5120
TXN000637,EX001,Rule 1,MEDIUM,Rule 1,3417.67,Google,5910
TXN000639,EX001,Rule 1,MEDIUM,Rule 1,25786.645340000003,Seek Limited,5220
TXN000641,EX001,Rule 1,MEDIUM,Rule 1,32741.780400000003,ServiceNow Inc,5000
TXN000642,EX001,Rule 1,MEDIUM,Rule 1,52231.20777,Workday,5520
TXN000644,EX001,Rule 1,MEDIUM,Rule 1,27671.91065,Hays,5220
TXN000648,EX001,Rule 1,MEDIUM,Rule 1,35703.3309,Slack,5200
TXN000650,EX001,Rule 1,MEDIUM,Rule 1,26364.88005,ServiceNow Inc,5320
TXN000651,EX001,Rule 1,MEDIUM,Rule 1,5457.486999999999,Deloitte Touche,5610
TXN000654,EX001,Rule 1,MEDIUM,Rule 1,21066.14514,McKinsey,5700
TXN000656,EX001,Rule 1,MEDIUM,Rule 1,57406.44876,Atlassian Pty,5710
TXN000657,EX001,Rule 1,MEDIUM,Rule 1,33043.097200000004,SAP,5200
TXN000661,EX001,Rule 1,MEDIUM,Rule 1,4172.2378,MSFT,5010
TXN000669,EX001,Rule 1,MEDIUM,Rule 1,17856.432599999996,Google,5520
TXN000671,EX001,Rule 1,MEDIUM,Rule 1,14181.84324,Seek Limited,5120
TXN000680,EX001,Rule 1,MEDIUM,Rule 1,9619.77933,Salesforce,5610
TXN000685,EX001,Rule 1,MEDIUM,Rule 1,64809.000190000006,BCG,5110
TXN000690,EX001,Rule 1,MEDIUM,Rule 1,286731.89028000005,Google,5120
TXN000695,EX001,Rule 1,MEDIUM,Rule 1,113138.77,Microsoft,5220
TXN000703,EX001,Rule 1,MEDIUM,Rule 1,70701.52,Salesforce,5110
TXN000710,EX001,Rule 1,MEDIUM,Rule 1,165193.26124999998,Amazon,5620
TXN000712,EX001,Rule 1,MEDIUM,Rule 1,67663.15121499999,Salesforce,5400
TXN000713,EX001,Rule 1,MEDIUM,Rule 1,189310.51099999997,AWS,5500
TXN000714,EX001,Rule 1,MEDIUM,Rule 1,94663.84,Google,5520
TXN000717,EX001,Rule 1,MEDIUM,Rule 1,167490.41449999998,GCP,5500
TXN000718,EX001,Rule 1,MEDIUM,Rule 1,75175.53,LinkedIn Corp,5600
TXN000728,EX001,Rule 1,MEDIUM,Rule 1,166414.35348,Zoom,5310
TXN000732,EX001,Rule 1,MEDIUM,Rule 1,25482.28,Salesforce,5600
TXN000734,EX001,Rule 1,MEDIUM,Rule 1,28103.67,KPMG Australia,5000
TXN000737,EX001,Rule 1,MEDIUM,Rule 1,64010.614429999994,PWC,5120
TXN000738,EX001,Rule 1,MEDIUM,Rule 1,20161.88,Federal Express,5420
TXN000740,EX001,Rule 1,MEDIUM,Rule 1,22662.0688,Regus Australia,5020
TXN000742,EX001,Rule 1,MEDIUM,Rule 1,58177.102999999996,Microsoft,5800
TXN000744,EX001,Rule 1,MEDIUM,Rule 1,35416.4,Regus Australia,5800
TXN000748,EX001,Rule 1,MEDIUM,Rule 1,15189.175889999999,SAP,5500
TXN000753,EX001,Rule 1,MEDIUM,Rule 1,30093.77,LinkedIn Corp,5900
TXN000755,EX001,Rule 1,MEDIUM,Rule 1,57670.2845,SAP,5400
TXN000756,EX001,Rule 1,MEDIUM,Rule 1,47589.01347,Regus Australia,5900
TXN000760,EX001,Rule 1,MEDIUM,Rule 1,14218.250039999999,Atlassian Pty,5110
TXN000762,EX001,Rule 1,MEDIUM,Rule 1,28247.74,Deloitte Touche,5010
TXN000771,EX001,Rule 1,MEDIUM,Rule 1,31677.94372,Optus Pty,5320
TXN000772,EX001,Rule 1,MEDIUM,Rule 1,54484.57925,Oracle,5810
TXN000782,EX001,Rule 1,MEDIUM,Rule 1,,Accenture Pty,5800
TXN000783,EX001,Rule 1,MEDIUM,Rule 1,,Federal Express,5400
TXN000785,EX001,Rule 1,MEDIUM,Rule 1,,Amazon,5510
TXN000794,EX001,Rule 1,MEDIUM,Rule 1,,EY Australia,5000
TXN000801,EX001,Rule 1,MEDIUM,Rule 1,,Google,5910
TXN000803,EX001,Rule 1,MEDIUM,Rule 1,,Workday,5810
TXN000807,EX001,Rule 1,MEDIUM,Rule 1,,AWS,5000
TXN000810,EX001,Rule 1,MEDIUM,Rule 1,20750.95,Zoom,5900
TXN000815,EX001,Rule 1,MEDIUM,Rule 1,25634.734560000004,Hays,5920
TXN000817,EX001,Rule 1,MEDIUM,Rule 1,4340.63156,KPMG Australia,5310
TXN000820,EX001,Rule 1,MEDIUM,Rule 1,41496.791485,WeWork Australia,5000
TXN000823,EX001,Rule 1,MEDIUM,Rule 1,12350.36,BCG,5420
TXN000824,EX001,Rule 1,MEDIUM,Rule 1,62088.255249999995,Federal Express,5000
TXN000826,EX001,Rule 1,MEDIUM,Rule 1,1133.03,Robert Half International,5900
TXN000828,EX001,Rule 1,MEDIUM,Rule 1,31716.23,Atlassian Pty,5900
TXN000837,EX001,Rule 1,MEDIUM,Rule 1,13367.2885,DHL Express,5100
TXN000844,EX001,Rule 1,MEDIUM,Rule 1,21371.24,Regus Australia,5710
TXN000846,EX001,Rule 1,MEDIUM,Rule 1,13488.15,Telstra Corp,5900
TXN000847,EX001,Rule 1,MEDIUM,Rule 1,48986.39109,Optus Pty,5810
TXN000848,EX001,Rule 1,MEDIUM,Rule 1,22153.52502,Adobe,5420
TXN000850,EX001,Rule 1,MEDIUM,Rule 1,41720.0,Hays,5010
TXN000852,EX001,Rule 1,MEDIUM,Rule 1,14128.771310000002,Workday,5910
TXN000854,EX001,Rule 1,MEDIUM,Rule 1,9085.59,Salesforce,5000
TXN000856,EX001,Rule 1,MEDIUM,Rule 1,8285.64776,Deloitte Touche,5910
TXN000861,EX001,Rule 1,MEDIUM,Rule 1,2503.85,Adobe,5800
TXN000862,EX001,Rule 1,MEDIUM,Rule 1,40443.62,EY Australia,5620
TXN000864,EX001,Rule 1,MEDIUM,Rule 1,17949.5,Workday,5800
TXN000867,EX001,Rule 1,MEDIUM,Rule 1,30908.418375,Zoom,5700
TXN000868,EX001,Rule 1,MEDIUM,Rule 1,40237.6125,AusPost,5110
TXN000872,EX001,Rule 1,MEDIUM,Rule 1,12866.949800000002,GCP,5900
TXN000873,EX001,Rule 1,MEDIUM,Rule 1,828.28,SAP,5620
TXN000875,EX001,Rule 1,MEDIUM,Rule 1,22549.77,Hays,5600
TXN000881,EX001,Rule 1,MEDIUM,Rule 1,49094.378489999996,Hays,5310
TXN000884,EX001,Rule 1,MEDIUM,Rule 1,58266.488,SAP,5600
TXN000885,EX001,Rule 1,MEDIUM,Rule 1,10197.45342,ServiceNow Inc,5520
TXN000888,EX001,Rule 1,MEDIUM,Rule 1,39329.113840000005,AusPost,5120
TXN000897,EX001,Rule 1,MEDIUM,Rule 1,21488.93,Hays,5010
TXN000901,EX001,Rule 1,MEDIUM,Rule 1,19612.48647,Accenture Pty,5100
TXN000910,EX001,Rule 1,MEDIUM,Rule 1,23022.67408,Oracle,5010
TXN000912,EX001,Rule 1,MEDIUM,Rule 1,22591.0,PWC,5310
TXN000920,EX001,Rule 1,MEDIUM,Rule 1,6652.66,AWS,5510
TXN000921,EX001,Rule 1,MEDIUM,Rule 1,26112.393880000003,LinkedIn Corp,5400
TXN000923,EX001,Rule 1,MEDIUM,Rule 1,19547.82719,PWC,5610
TXN000930,EX001,Rule 1,MEDIUM,Rule 1,41767.34496,KPMG Australia,5410
TXN000932,EX001,Rule 1,MEDIUM,Rule 1,27965.60132,Regus Australia,5110
TXN000933,EX001,Rule 1,MEDIUM,Rule 1,54285.567689999996,AWS,5020
TXN000936,EX001,Rule 1,MEDIUM,Rule 1,31425.7878,Workday,5700
TXN000937,EX001,Rule 1,MEDIUM,Rule 1,32382.620245000002,Salesforce,5110
TXN000938,EX001,Rule 1,MEDIUM,Rule 1,61556.378189999996,EY Australia,5800
TXN000941,EX001,Rule 1,MEDIUM,Rule 1,38061.090560000004,Hays,5510
TXN000942,EX001,Rule 1,MEDIUM,Rule 1,21777.65,AWS,5320
TXN000948,EX001,Rule 1,MEDIUM,Rule 1,7189.49295,AWS,5520
TXN000950,EX001,Rule 1,MEDIUM,Rule 1,4676.5902,AWS,5110
TXN000951,EX001,Rule 1,MEDIUM,Rule 1,16096.03,PWC,5100
TXN000953,EX001,Rule 1,MEDIUM,Rule 1,36346.65,Telstra Corp,5310
TXN000958,EX001,Rule 1,MEDIUM,Rule 1,1274.04,AusPost,5300
TXN000964,EX001,Rule 1,MEDIUM,Rule 1,56718.338279999996,Federal Express,5200
TXN000967,EX001,Rule 1,MEDIUM,Rule 1,49263.477999999996,AWS,5100
TXN000972,EX001,Rule 1,MEDIUM,Rule 1,19378.26528,Hays,5000
TXN000976,EX001,Rule 1,MEDIUM,Rule 1,20172.159200000002,BCG,5500
TXN000977,EX001,Rule 1,MEDIUM,Rule 1,30675.14,Salesforce,5420
TXN000978,EX001,Rule 1,MEDIUM,Rule 1,44610.07,AusPost,5220
TXN000979,EX001,Rule 1,MEDIUM,Rule 1,21472.96,Accenture Pty,5900
TXN000983,EX001,Rule 1,MEDIUM,Rule 1,33127.5758,Adobe,5710
TXN000984,EX001,Rule 1,MEDIUM,Rule 1,9714.277699999999,Zoom,5200
TXN000987,EX001,Rule 1,MEDIUM,Rule 1,23356.15,Slack,5620
TXN000988,EX001,Rule 1,MEDIUM,Rule 1,22101.461984999998,Google,5520
TXN000989,EX001,Rule 1,MEDIUM,Rule 1,55199.32449,Workday,5410
TXN000990,EX001,Rule 1,MEDIUM,Rule 1,19234.79225,Google,5800
TXN000993,EX001,Rule 1,MEDIUM,Rule 1,20612.575575000003,Seek Limited,5520
TXN000994,EX001,Rule 1,MEDIUM,Rule 1,41215.9747,Microsoft,5400
TXN000998,EX001,Rule 1,MEDIUM,Rule 1,43948.9474,Oracle,5620
TXN001002,EX001,Rule 1,MEDIUM,Rule 1,20205.5272,BCG,5800
TXN001003,EX001,Rule 1,MEDIUM,Rule 1,34764.46,Robert Half International,5510
TXN001004,EX001,Rule 1,MEDIUM,Rule 1,30348.13,LinkedIn Corp,5800
TXN001012,EX001,Rule 1,MEDIUM,Rule 1,41740.42283999999,Adobe,5200
